ANON_ID,Birthdate,Gen,Eth,Fluency,SpEd,Grade,AttRate,DaysEnr,DaysAbs,Susp,CurrWeightedTotGPA,SED,School,Year
72,2004-03-20,F,White,RFEP,Not Special Ed,8,0.9833,180.0,3.0,,2.31,Unknown,WOMS,17-18
254,2005-11-03,F,African American,EO,Not Special Ed,7,0.9153,118.0,10.0,,2.62,Unknown,WOMS,17-18
1406,2005-01-20,F,White,EL,Not Special Ed,7,0.9833,180.0,3.0,,2.77,Unknown,WOMS,17-18
1511,2005-04-26,F,White,EL,Not Special Ed,7,0.9778,180.0,4.0,,2.08,Unknown,WOMS,17-18
1625,2003-11-06,F,White,EL,Not Special Ed,8,0.9889,180.0,2.0,,3.38,Unknown,WOMS,17-18
1626,2005-12-01,F,White,EL,Not Special Ed,7,0.9889,180.0,2.0,,2.92,Unknown,WOMS,17-18
1629,2005-12-01,F,White,EL,Not Special Ed,7,0.9833,180.0,3.0,,2.77,Unknown,WOMS,17-18
1904,2004-09-14,F,Asian,EL,Not Special Ed,8,0.9944,180.0,1.0,,1.69,Unknown,WOMS,17-18
1906,2006-06-30,F,White,EL,Not Special Ed,6,0.9944,180.0,1.0,,2.55,Unknown,WOMS,17-18
2077,2004-04-16,M,African American,EO,Not Special Ed,8,0.9318,176.0,12.0,1.0,2.08,Unknown,WOMS,17-18
2081,2004-06-30,M,African American,EO,Not Special Ed,8,0.9222,180.0,14.0,,2.54,Unknown,WOMS,17-18
2083,2005-07-15,F,African American,EO,Not Special Ed,7,0.9663,178.0,6.0,1.0,2.31,Unknown,WOMS,17-18
2127,2005-07-01,F,White,EL,Not Special Ed,6,0.9944,180.0,1.0,,2.62,Unknown,WOMS,17-18
2129,2005-07-01,F,White,EL,Not Special Ed,6,0.9944,180.0,1.0,,2.62,Unknown,WOMS,17-18
2134,2005-07-01,F,White,EL,Not Special Ed,6,0.9944,180.0,1.0,,2.62,Unknown,WOMS,17-18
2136,2005-01-20,F,White,EL,Not Special Ed,7,0.9833,180.0,3.0,,2.77,Unknown,WOMS,17-18
2137,2003-12-25,M,White,RFEP,Not Special Ed,8,0.9778,180.0,4.0,1.0,3.0,Unknown,WOMS,17-18
2256,2005-04-13,M,White,RFEP,Not Special Ed,7,0.9722,180.0,5.0,,2.0,Unknown,WOMS,17-18
2285,2004-07-28,M,Asian,EL,Not Special Ed,8,0.9889,180.0,2.0,,2.46,Unknown,WOMS,17-18
2292,2004-07-28,M,Asian,EL,Not Special Ed,8,0.9889,180.0,2.0,,2.46,Unknown,WOMS,17-18
2607,2004-09-23,M,African American,EO,Not Special Ed,8,0.9722,180.0,5.0,1.0,2.38,Unknown,WOMS,17-18
2612,2005-12-14,F,African American,EO,Special Ed,6,0.9944,180.0,1.0,,2.82,Unknown,WOMS,17-18
2762,2005-06-04,M,Asian,EL,Not Special Ed,7,0.9778,180.0,4.0,,1.62,Unknown,WOMS,17-18
2763,2004-04-08,F,White,EL,Not Special Ed,8,0.9944,180.0,1.0,,2.92,Unknown,WOMS,17-18
2766,2004-09-22,M,White,EL,Not Special Ed,8,0.9611,180.0,7.0,,2.15,Unknown,WOMS,17-18
2770,2003-11-11,F,White,RFEP,Not Special Ed,8,0.9833,180.0,3.0,,2.46,Unknown,WOMS,17-18
4554,2004-01-12,M,African American,EO,Not Special Ed,8,1.0,180.0,0.0,,2.54,Unknown,WOMS,17-18
4556,2004-01-12,M,African American,EO,Not Special Ed,8,1.0,180.0,0.0,,2.54,Unknown,WOMS,17-18
4621,2006-06-15,F,African American,EO,Not Special Ed,6,0.9274,179.0,13.0,,3.0,Unknown,WOMS,17-18
4985,2006-10-10,F,African American,EO,Not Special Ed,6,0.9944,180.0,1.0,,3.69,Unknown,WOMS,17-18
5264,2005-10-20,F,Latino,EL,Not Special Ed,6,0.9574,141.0,6.0,,2.0,Unknown,WOMS,17-18
5497,2004-05-09,F,Multiple Ethnicity,RFEP,Special Ed,8,1.0,180.0,0.0,,2.0,Unknown,WOMS,17-18
5624,2005-09-16,M,African American,EO,Not Special Ed,6,0.9778,180.0,4.0,3.0,1.91,Unknown,WOMS,17-18
5927,2005-12-12,M,African American,EO,Not Special Ed,6,0.9944,180.0,1.0,1.0,2.38,Unknown,WOMS,17-18
5937,2005-04-10,F,African American,EO,Not Special Ed,7,0.9833,180.0,3.0,1.0,1.92,Unknown,WOMS,17-18
6920,2006-03-06,F,African American,EO,Special Ed,6,0.9663,178.0,6.0,1.0,2.08,Unknown,WOMS,17-18
7683,2004-06-04,M,African American,EO,Special Ed,8,0.9167,180.0,15.0,,1.77,Unknown,WOMS,17-18
7796,2006-10-18,F,Asian,EO,Not Special Ed,6,0.9833,180.0,3.0,,4.0,Unknown,WOMS,17-18
8174,2006-09-15,F,African American,EO,Special Ed,6,0.9441,179.0,10.0,1.0,2.38,Unknown,WOMS,17-18
8357,2005-08-02,M,African American,EO,Special Ed,6,0.9333,180.0,12.0,1.0,1.54,Unknown,WOMS,17-18
8550,2005-08-13,M,African American,EO,Not Special Ed,7,0.9889,180.0,2.0,,2.69,Unknown,WOMS,17-18
8594,2005-02-22,M,African American,EO,Not Special Ed,7,1.0,180.0,0.0,,2.69,Unknown,WOMS,17-18
8667,2004-08-09,F,African American,EO,Not Special Ed,8,0.9889,180.0,2.0,,1.55,Unknown,WOMS,17-18
8870,2006-02-25,M,African American,EO,Not Special Ed,6,0.8778,180.0,22.0,1.0,2.09,Unknown,WOMS,17-18
9466,2006-03-14,F,African American,EO,Not Special Ed,6,0.9778,180.0,4.0,1.0,2.09,Unknown,WOMS,17-18
9837,2006-01-04,M,African American,EO,Special Ed,6,0.707,157.0,46.0,,3.31,Unknown,WOMS,17-18
10114,2006-06-22,M,African American,EO,Not Special Ed,6,0.9667,180.0,6.0,,3.54,Unknown,WOMS,17-18
10140,2006-05-09,M,African American,EO,Not Special Ed,6,0.9889,180.0,2.0,3.0,2.85,Unknown,WOMS,17-18
10583,2005-11-05,F,Not Reported,EO,Not Special Ed,7,1.0,180.0,0.0,,3.54,Unknown,WOMS,17-18
11026,2006-07-21,M,African American,EO,Special Ed,6,0.9444,180.0,10.0,3.0,1.64,Unknown,WOMS,17-18
11027,2005-07-21,M,African American,EO,Special Ed,6,0.9444,180.0,10.0,3.0,1.64,Unknown,WOMS,17-18
11459,2006-08-01,M,African American,EO,Special Ed,6,0.85,180.0,27.0,2.0,1.54,Unknown,WOMS,17-18
11461,2004-08-25,F,African American,EO,Not Special Ed,8,0.8556,180.0,26.0,1.0,1.46,Unknown,WOMS,17-18
11507,2005-11-03,M,African American,EO,Not Special Ed,7,0.9778,180.0,4.0,2.0,1.46,Unknown,WOMS,17-18
11535,2006-05-24,M,Latino,RFEP,Not Special Ed,6,0.9944,180.0,1.0,,3.46,Unknown,WOMS,17-18
12012,2004-07-18,F,African American,EO,Not Special Ed,8,0.981,105.0,2.0,,0.0,Unknown,WOMS,17-18
12044,2006-04-16,M,African American,EO,Not Special Ed,6,0.9833,180.0,3.0,,2.38,Unknown,WOMS,17-18
12057,2006-02-17,M,African American,EO,Not Special Ed,6,0.9111,180.0,16.0,,2.08,Unknown,WOMS,17-18
12703,2004-08-07,F,African American,EO,Not Special Ed,7,1.0,180.0,0.0,,2.0,Unknown,WOMS,17-18
12923,2003-08-18,M,Latino,RFEP,Not Special Ed,8,1.0,180.0,0.0,,2.38,Unknown,WOMS,17-18
13513,2004-03-01,F,Latino,EO,Not Special Ed,8,0.9423,156.0,9.0,2.0,1.55,Unknown,WOMS,17-18
14924,2003-02-13,F,African American,EO,Not Special Ed,8,0.9833,180.0,3.0,1.0,2.46,Unknown,WOMS,17-18
14984,2004-09-23,M,African American,EO,Not Special Ed,7,0.9595,173.0,7.0,,2.62,Unknown,WOMS,17-18
15458,2006-01-13,M,African American,EO,Not Special Ed,6,0.8556,90.0,13.0,,0.0,Unknown,WOMS,17-18
15888,2003-08-28,M,Latino,EL,Not Special Ed,8,1.0,180.0,0.0,,2.77,Unknown,WOMS,17-18
15964,2006-08-11,F,African American,EO,Not Special Ed,6,0.9574,141.0,6.0,,4.0,Unknown,WOMS,17-18
16699,2006-03-29,M,Latino,RFEP,Not Special Ed,6,0.9722,180.0,5.0,,3.64,Unknown,WOMS,17-18
17306,2003-10-16,M,African American,EO,Not Special Ed,8,0.9278,180.0,13.0,3.0,0.69,Unknown,WOMS,17-18
18242,2004-09-09,M,Latino,RFEP,Not Special Ed,8,0.9778,180.0,4.0,1.0,2.15,Unknown,WOMS,17-18
18662,2006-09-26,M,African American,EO,Not Special Ed,6,0.9889,180.0,2.0,,2.85,Unknown,WOMS,17-18
19016,2004-07-27,M,African American,EO,Not Special Ed,8,0.9833,180.0,3.0,,0.92,Unknown,WOMS,17-18
19257,2006-10-07,M,African American,EO,Not Special Ed,6,0.95,80.0,4.0,2.0,0.0,Unknown,WOMS,17-18
19391,2005-05-25,M,African American,EO,Not Special Ed,7,0.9195,174.0,14.0,1.0,1.69,Unknown,WOMS,17-18
19410,2004-10-06,F,African American,EO,Not Special Ed,8,0.8994,169.0,17.0,1.0,1.45,Unknown,WOMS,17-18
19470,2005-11-01,M,African American,EO,Special Ed,6,1.0,179.0,0.0,,3.23,Unknown,WOMS,17-18
19589,2005-03-14,F,Latino,RFEP,Not Special Ed,7,0.9778,180.0,4.0,,3.69,Unknown,WOMS,17-18
20187,2006-01-29,M,African American,EO,Not Special Ed,6,0.9944,180.0,1.0,1.0,2.23,Unknown,WOMS,17-18
21826,2005-09-08,F,Latino,EO,Not Special Ed,6,0.8715,179.0,23.0,,1.92,Unknown,WOMS,17-18
22163,2006-07-03,M,African American,EO,Not Special Ed,6,1.0,180.0,0.0,,3.08,Unknown,WOMS,17-18
22776,2005-12-15,F,African American,EO,Not Special Ed,6,0.92,75.0,6.0,,2.23,Unknown,WOMS,17-18
22954,2004-08-16,F,African American,EO,Not Special Ed,8,0.9722,180.0,5.0,,3.08,Unknown,WOMS,17-18
22986,2004-02-03,M,African American,EO,Not Special Ed,8,0.9611,180.0,7.0,,1.92,Unknown,WOMS,17-18
23727,2003-08-24,M,Latino,EL,Not Special Ed,8,0.9889,180.0,2.0,,2.38,Unknown,WOMS,17-18
24142,2005-11-28,F,Latino,EL,Special Ed,6,0.9444,180.0,10.0,,3.38,Unknown,WOMS,17-18
25235,2005-06-18,M,Asian,EL,Not Special Ed,7,0.9722,180.0,5.0,,2.91,Unknown,WOMS,17-18
25461,2006-06-20,F,Asian,IFEP,Not Special Ed,6,0.9944,180.0,1.0,,3.08,Unknown,WOMS,17-18
26063,2004-10-08,M,African American,EO,Not Special Ed,8,0.9556,180.0,8.0,,3.31,Unknown,WOMS,17-18
26067,2006-03-08,M,African American,EO,Not Special Ed,6,0.9389,180.0,11.0,1.0,3.54,Unknown,WOMS,17-18
27030,2006-01-19,F,Latino,EL,Not Special Ed,6,0.8883,179.0,20.0,,2.77,Unknown,WOMS,17-18
27096,2006-09-17,F,Latino,EL,Not Special Ed,6,0.9889,180.0,2.0,,2.55,Unknown,WOMS,17-18
